source,apn_given,address_given,address
2015 Registered Foreclosed Properties.csv,2701068029,11450 N SANTINI LANE ,""
2015 Registered Foreclosed Properties.csv,4243026003,1041 E LAKE ST ,""
2015 Registered Foreclosed Properties.csv,2706015017,10420 N DE SOTO AVE ,""
2015 Registered Foreclosed Properties.csv,2695011004,17168 W GERMAIN ST ,""
2015 Registered Foreclosed Properties.csv,7439008007,1536 W 238TH ST ,""
2015 Registered Foreclosed Properties.csv,6050005021,903 E 94TH ST ,""
2015 Registered Foreclosed Properties.csv,5590013004,1918 N DRACENA DR ,""
2015 Registered Foreclosed Properties.csv,2525008034,13033 N CRANSTON AVE ,""
2015 Registered Foreclosed Properties.csv,5005003023,5329 S 2ND AVE ,""
2015 Registered Foreclosed Properties.csv,6016009017,1905 W 65TH PL ,""
2015 Registered Foreclosed Properties.csv,5046009024,4417 W EXPOSITION BLVD ,""
2015 Registered Foreclosed Properties.csv,2642010010,9400 N VARNA AVE ,""
2015 Registered Foreclosed Properties.csv,5015033002,4915 1 2 S ARLINGTON AVE ,""
2015 Registered Foreclosed Properties.csv,5143019123,1226 W WILSHIRE BLVD ,""
2015 Registered Foreclosed Properties.csv,2504017045,13263 N DRONFIELD AVE ,""
2015 Registered Foreclosed Properties.csv,5486011030,549 N MERIDIAN TER ,""
2015 Registered Foreclosed Properties.csv,5074013002,2262 W CAMBRIDGE ST ,""
2015 Registered Foreclosed Properties.csv,4240016065,749 E VERNON AVE ,""
2015 Registered Foreclosed Properties.csv,2130008019,19507 W SCHOOLCRAFT ST ,""
2015 Registered Foreclosed Properties.csv,5064019004,2014 S CLYDE AVE ,""
2015 Registered Foreclosed Properties.csv,5528005072,531 N LA JOLLA AVE ,""
2015 Registered Foreclosed Properties.csv,2870013051,18246 W BATHURST ST ,""
2015 Registered Foreclosed Properties.csv,5457008011,2546 W AVENUE ,""
2015 Registered Foreclosed Properties.csv,2581006137,13537 N VIA ,""
2015 Registered Foreclosed Properties.csv,5477025012,960 W EL PASO DR ,""
2015 Registered Foreclosed Properties.csv,2364003056,4434 N ST CLAIR AVE ,""
2015 Registered Foreclosed Properties.csv,2628010034,12870 W CROWLEY ST ,""
2015 Registered Foreclosed Properties.csv,2668014027,10337 N HASKELL AVE ,""
2015 Registered Foreclosed Properties.csv,6020002022,829 W 73RD ST ,""
2015 Registered Foreclosed Properties.csv,5464021019,3546 N DIVISION ST ,""
2015 Registered Foreclosed Properties.csv,6071014013,811 E 109TH PL ,""
2015 Registered Foreclosed Properties.csv,5035004019,3967 S VAN NESS AVE ,""
2015 Registered Foreclosed Properties.csv,6051001004,10317 S PALOMA AVE ,""
2015 Registered Foreclosed Properties.csv,2782006014,8460 N HATILLO AVE ,""
2015 Registered Foreclosed Properties.csv,2502023002,14571 W BLEDSOE ST ,""
2015 Registered Foreclosed Properties.csv,7469005007,854 W 29TH ST ,""
2015 Registered Foreclosed Properties.csv,5073018014,1835 S GRAMERCY PL ,""
2015 Registered Foreclosed Properties.csv,6046003030,9225 S HICKORY ST ,""
2015 Registered Foreclosed Properties.csv,5469021010,5333 E GRANADA ST ,""
2015 Registered Foreclosed Properties.csv,2507025002,14382 W BEAVER ST ,""
2015 Registered Foreclosed Properties.csv,2010006025,22046 W BAHAMA ST ,""
2015 Registered Foreclosed Properties.csv,4412017015,574 N MOUNT HOLYOKE AVE ,""
2015 Registered Foreclosed Properties.csv,5464008004,4057 W SEA VIEW AVE ,""
2015 Registered Foreclosed Properties.csv,5057011014,2622 S HARCOURT AVE ,""
2015 Registered Foreclosed Properties.csv,6030029018,444 E 83RD ST ,""
2015 Registered Foreclosed Properties.csv,5179018008,124 1 2 N CHEESBROUGH'S LANE ,""
2015 Registered Foreclosed Properties.csv,4301014005,2818 S REYNIER AVE ,""
2015 Registered Foreclosed Properties.csv,2332032006,6107 N ALCOVE AVE ,""
2015 Registered Foreclosed Properties.csv,2608015009,12434 N DARYL AVE ,""
2015 Registered Foreclosed Properties.csv,2536025022,12570 W BERNADETTE ST ,""
2015 Registered Foreclosed Properties.csv,2014003002,22950 W ROSCOE BLVD ,""
2015 Registered Foreclosed Properties.csv,2217016010,7007 N STANSBURY AVE ,""
2015 Registered Foreclosed Properties.csv,2242008033,6313 N PEACH AVE ,""
2015 Registered Foreclosed Properties.csv,2701019051,19558 W KILFINAN ST ,""
2015 Registered Foreclosed Properties.csv,2664011051,14770 W HAGAR ST ,""
2015 Registered Foreclosed Properties.csv,2364006022,4510 N RADFORD AVE ,""
2015 Registered Foreclosed Properties.csv,5462006016,3554 E LAVELL DR ,""
2015 Registered Foreclosed Properties.csv,2004010012,22400 W MALDEN ST ,""
2015 Registered Foreclosed Properties.csv,5179012039,3340 A E 3RD ST ,""
2015 Registered Foreclosed Properties.csv,2672030013,8846 N WOODLEY AVE ,""
2015 Registered Foreclosed Properties.csv,5076012004,1122 1 2 S ELDEN AVE ,""
2015 Registered Foreclosed Properties.csv,5074023020,1745 S KINGSLEY DR ,""
2015 Registered Foreclosed Properties.csv,2692015011,17201 W CITRONIA ST ,""
2015 Registered Foreclosed Properties.csv,2129018010,19150 W WELBY WAY ,""
2015 Registered Foreclosed Properties.csv,2242008040,6355 N PEACH AVE ,""
2015 Registered Foreclosed Properties.csv,5513025014,5561 W 3RD ST ,""
2015 Registered Foreclosed Properties.csv,6004019021,705 W 65TH ST ,""
2015 Registered Foreclosed Properties.csv,2536015012,12323 W OSBORNE PL ,""
2015 Registered Foreclosed Properties.csv,2028012015,23601 W VANOWEN ST ,""
2015 Registered Foreclosed Properties.csv,2027013002,7210 N DARNOCH WAY ,""
2015 Registered Foreclosed Properties.csv,2126035026,18860 N LEMAY ST ,""
2015 Registered Foreclosed Properties.csv,2601071034,17725 W ORNA DR ,""
2015 Registered Foreclosed Properties.csv,2601064008,18012 W DALI DR ,""
2015 Registered Foreclosed Properties.csv,6029022025,839 E 84TH PL ,""
2015 Registered Foreclosed Properties.csv,5063009070,2233 S CLOVERDALE AVE ,""
2015 Registered Foreclosed Properties.csv,2125027022,6917 N LINDLEY AVE ,""
2015 Registered Foreclosed Properties.csv,4384022005,1932 N SAN YSIDRO DR ,""
2015 Registered Foreclosed Properties.csv,2102020015,7743 N WYNNE AVE ,""
2015 Registered Foreclosed Properties.csv,6018016024,7427 S HOBART BLVD ,""
2015 Registered Foreclosed Properties.csv,2114018076,20134 W LEADWELL ,""
2015 Registered Foreclosed Properties.csv,2171024040,4620 N DON PIO DR ,""
2015 Registered Foreclosed Properties.csv,6014006010,6511 S KANSAS AVE ,""
2015 Registered Foreclosed Properties.csv,2316016018,7403 N BECK AVE ,""
2015 Registered Foreclosed Properties.csv,7462024022,1040 W 21ST ST ,""
2015 Registered Foreclosed Properties.csv,5018023043,702 W 49TH ST ,""
2015 Registered Foreclosed Properties.csv,2284019024,4221 N CLEAR VALLEY DR ,""
2015 Registered Foreclosed Properties.csv,6039010012,624 W 94TH ST ,""
2015 Registered Foreclosed Properties.csv,2673017041,8319 N DENSMORE AVE ,""
2015 Registered Foreclosed Properties.csv,2106011063,7668 N OAKDALE AVE ,""
2015 Registered Foreclosed Properties.csv,2524010002,11723 N BORDEN AVE ,""
2015 Registered Foreclosed Properties.csv,4235016023,12420 W BARBARA AVE ,""
2015 Registered Foreclosed Properties.csv,6069007029,10974 S WILLOWBROOK AVE ,""
2015 Registered Foreclosed Properties.csv,2004001027,8329 N FAUST AVE ,""
2015 Registered Foreclosed Properties.csv,5522017060,4937 W ROSEWOOD AVE ,""
2015 Registered Foreclosed Properties.csv,2701052058,20628 W COMO LANE ,""
2015 Registered Foreclosed Properties.csv,2126036025,6710 N KURL WAY ,""
