ain,supplied_address,address_from_apn,latitude,longitude,source_files
7411005199,26057 S FRAMPTON AVE ,"26059 FRAMPTON AVE, LOS ANGELES CA 90710",33.7862321,-118.3005998,2015 Registered Foreclosed Properties.csv
5223018018,4849 E FARQUHAR ST ,"4849 FARQUHAR ST, LOS ANGELES CA 90032",34.065866,-118.175873,2015 Registered Foreclosed Properties.csv
6022004024,123 E 76TH ST ,"123 E 76TH ST, LOS ANGELES CA 90003",41.7564525,-87.6211117,"2015 Registered Foreclosed Properties.csv, Department of Building & Safety Vacant Buildings.csv"
5120025016,747 E 32ND ST ,"747 E 32ND ST, LOS ANGELES CA 90011",37.0549949,-94.5077936,2015 Registered Foreclosed Properties.csv
4426030004,701 N TEAKWOOD ROAD ,"701 TEAKWOOD RD, LOS ANGELES CA 90049",36.3362207,-119.2542481,2015 Registered Foreclosed Properties.csv
2222022009,15354 W LEADWELL ST ,"15354 LEADWELL ST, LOS ANGELES CA 91406",34.203642,-118.468163,2015 Registered Foreclosed Properties.csv
2682021035,16840 W DONMETZ ST ,"16840 DONMETZ ST, LOS ANGELES CA 91344",34.2735649,-118.499206,2015 Registered Foreclosed Properties.csv
2694013003,10038 N LOUISE AVE ,"10038 LOUISE AVE, LOS ANGELES CA 91325",41.9959889,-87.7685123,2015 Registered Foreclosed Properties.csv
2747007122,21143 W LASSEN ST ,"21157 LASSEN ST, NO 2, LOS ANGELES CA 91311",34.2499973,-118.4523781,2015 Registered Foreclosed Properties.csv
2328016015,6927 N VARNA AVE ,"6927 VARNA AVE, LOS ANGELES CA 91405",34.196475,-118.425579,2015 Registered Foreclosed Properties.csv
7404021021,1959 N LAKME AVE ,"24621 LAKME AVE, LOS ANGELES CA 90744",33.7709659,-118.2590852,2015 Registered Foreclosed Properties.csv
2356031019,12415 W RIVERSIDE DR ,"12411 RIVERSIDE DR, NO 1, LOS ANGELES CA 91607",33.6172368,-114.631786,2015 Registered Foreclosed Properties.csv
2550022005,10005 W FOOTHILL BLVD ,"10005 FOOTHILL BLVD, LOS ANGELES CA 91342",34.1065344,-117.5883504,2015 Registered Foreclosed Properties.csv
5114008012,788 E 40TH PL ,"788 E 40TH PL, LOS ANGELES CA 90011",34.009765,-118.261875,2015 Registered Foreclosed Properties.csv
7410026075,25207 S FRAMPTON AVE ,"25207 FRAMPTON AVE, LOS ANGELES CA 90710",33.795339,-118.300151,2015 Registered Foreclosed Properties.csv
2027028007,23545 W SPIRES ST ,"23545 SPIRES ST, LOS ANGELES CA 91304",34.211511,-118.640481,2015 Registered Foreclosed Properties.csv
5017003007,1341 1 2 W 47TH ST ,"1341 W 47TH ST, LOS ANGELES CA 90037",39.9680299,-80.7556565,2015 Registered Foreclosed Properties.csv
2027016013,23648 W DEL CERRO CIR ,"23648 DEL CERRO CIR, LOS ANGELES CA 91304",34.206636,-118.641277,2015 Registered Foreclosed Properties.csv
2114018076,20134 W LEADWELL ,"20134 LEADWELL ST, NO 161, LOS ANGELES CA 91306",34.2032676,-118.5724937,2015 Registered Foreclosed Properties.csv
2103016009,18705 W SATICOY ST ,"18705 SATICOY ST, LOS ANGELES CA 91335",34.208702,-118.540676,2015 Registered Foreclosed Properties.csv
2697015011,17175 W SIMONDS ST ,"17175 SIMONDS ST, LOS ANGELES CA 91344",34.276687,-118.507541,2015 Registered Foreclosed Properties.csv
