Depart #,Dept,Bldg #,Sub ID,Maint Dist,Street #,Street Dir,Street Name,Street Type,Bldg Name,Community,Zip Code,Council Dist,Thomas Bros,Square Ft,Lease #,APN
1,DGS,76,C,SD,2513,E,24TH,ST,CNTRL REFUSE EQUIP REPAIR YARD,LOS ANGELES,90058,14,674J2,0,,5168018900
1,DGS,76,D,SD,2513,E,24TH,ST,CNTRL REFUSE EQUIP REPAIR YARD,LOS ANGELES,90058,14,674J2,0,,5168018900
1,DGS,76,E,SD,2513,E,24TH,ST,CNTRL REFUSE EQUIP REPAIR YARD,LOS ANGELES,90058,14,674J2,0,,5168018900
5,FIR,85,*,SD,1331,W,253RD,ST,FIRE STATION #85,HARBOR CITY,90710,15,793J4,0,,7410026900
50,R&P,724,A,SD,521,E,25TH,ST,TRINITY REC CENTER,LOS ANGELES,90011,9,674E1,0,,
50,R&P,332,B,SD,1001,W,25TH,ST,HOOVER REC CENTER,LOS ANGELES,90007,1,634B7,0,,
50,R&P,332,E,,1003,W,25TH,ST,REC & PARKS SERVICE,,90007,0,,0,,5124008901
50,R&P,332,*,SD,1010,W,25TH,ST,HOOVER REC CENTER,LOS ANGELES,90007,1,634B7,0,,7463009030
50,R&P,332,C,SD,1033,W,25TH,ST,HOOVER REC CENTER,LOS ANGELES,90007,1,634B7,0,,5124008004
50,R&P,332,F,,1035,W,25TH,ST,REC & PARKS SERVICE,,90007,0,,0,,7463015010
5,FIR,101,*,SD,1414,W,25TH,ST,FIRE STATION #101,SAN PEDRO,90731,15,823J7,5800,,7460004901
20,SAN,1,*,SD,2611,E,25TH,ST,REFUSE COLLECTION CENTER,LOS ANGELES,90058,14,674J2,0,,5168022900
60,VAR,87,*,SD,1600,W,27TH,ST,Single Fam Residence-Wos,San Pedro,90732,15,823H7,,A-125,7563017900
60,VAR,88,*,SD,1601,W,27TH,St,Single Family Residence-Taylor,Los Angeles,90007,15,823H7,,A-126,7563017901
26,STM,709,*,SD,665,W,29TH,ST,LANDSCAPE MEDIAN ISLAND,LOS ANGELES,90007,0,854B1,0,,
25,STM,243,*,,109,E,2ND,ST,LANDSCAPE MEDIAN ISLAND,SAN PEDRO,90731,0,,0,,
1,VAR,3,*,SD,319,E,2ND,St.,ITA in Ste 301,Los Angeles,90012,9,634E3,6137,4999-811,
22,VAR,3,P,SD,319,E,2ND,ST,LESSOR: ALLRIGHT CAL INC,LOS ANGELES,90012,9,634E3,0,4999-533P.1,
1,VAR,53,*,SD,340,E,2ND,St.,DEPARTMENT OF NEIGHBORHOOD EMPOWERMENT,Los Angeles,90012,9,634E3,21180,4999-963,5161020018
43,VAR,1,*,SD,360,E,2ND,ST,CITY EMPLOYEES' RETIREMENT SYSTEM,LOS ANGELES,90012,9,634E3,0,,5161020028
55,VAR,1,*,SD,360,E,2ND,ST,PENSION,LOS ANGELES,90012,9,634E3,0,,
5,FIR,422,*,SD,430,E,2ND,ST,LESSOR: LITTLE TOKYO PLAZA,LOS ANGELES,90012,9,634F4,3040,4999-555,5161019011
25,STM,15,*,SD,800,W,2ND,ST,PEDESTRIAN TUNNEL,LOS ANGELES,90012,9,634E3,0,,
52,,102,*,,1141,W,2ND,ST,DWP CIVIC CENTER SERVICE CENTER,N HOLLYWOOD,90012,,634E3,,,
8,STM,9,*,SD,1274,W,2ND,ST,CENTRAL DIST,LOS ANGELES,90026,1,634E3,2376,,5152010900
8,STM,9,A,SD,1274,W,2ND,ST,Central Dist Maint Yard - Building A,Los Angeles,90026,1,634E3,,,5152010900
8,STM,9,B,SD,1274,W,2ND,ST,CENTRAL MAINTENANCE YARD - Building B,Los Angeles,90026,1,634E3,,,5152010900
8,STM,9,C,SD,1274,W,2ND,St,CENTRAL MAINTENANCE YARD - Building C,Los Angeles,90026,1,634E3,,,5152010900
8,STM,9,D,SD,1274,W,2ND,ST,CENTRAL MAINTENANCE YARD - Building D,Los Angeles,90026,1,634E3,,,5152010900
50,R&P,632,A,SD,2351,,2ND,AV,2ND AVENUE PARK,LOS ANGELES,90018,10,633G5,0,,
50,R&P,632,*,SD,2413,,2ND,AV,2ND AVENUE PARK,LOS ANGELES,90019,10,633G6,0,,
50,R&P,208,B,SD,2844,E,2ND,ST,EVERGREEN REC CENTER,BOYLE HGHTS,90033,14,635B5,0,,5180022900
50,R&P,736,*,SD,5720,,2ND,AV,VAN NESS RECREATION CENTER,LOS ANGELES,90047,8,673G5,0,,
50,R&P,736,A,SD,5750,,2ND,AV,VAN NESS RECREATION CENTER,LOS ANGELES,90047,8,673G6,0,,
50,R&P,11,*,SD,850,W,30TH,ST,HOOVER PEDESTRIAN MALL LANDSCAPE,LOS ANGELES,90007,8,634B7,0,,
26,STM,56,*,SD,960,W,30TH,ST,LANDSCAPE MEDIAN ISLAND,LOS ANGELES,90007,0,634B7,0,,
25,STM,418,*,,1066,W,30TH,ST,LANDSCAPE MEDIAN ISLAND,,90007,0,,0,,
25,STM,98,*,,1074,W,30TH,ST,LANDSCAPE MEDIAN ISLAND,LOS ANGELES,90007,0,,0,,
50,R&P,164,*,SD,1550,W,35TH,PL,DENKER RECREATION CENTER,LOS ANGELES,90018,8,673J1,0,,5041011902
24,R&P,268,*,,1535,W,36TH,ST,REC & PARKS SERVICE,,90018,0,,0,,
1,DGS,47,C,SD,3320,W,36TH,ST,36TH STREET YARD,LOS ANGELES,90018,10,673F1,0,,5044003900
7,DAR,5,A,SD,3320,W,36TH,ST,SOUTH LOS ANGELES ANNEX ANIMAL SHELTER,LOS ANGELES,90018,10,673F1,3700,,5044003900
1,DGS,47,*,SD,3330,W,36TH,ST,36TH STREET YARD,LOS ANGELES,90018,10,673F1,0,,5044003900
1,DGS,47,A,SD,3330,W,36TH,ST,36TH STREET YARD,LOS ANGELES,90018,10,673F1,0,,5044003900
1,DGS,47,B,SD,3330,W,36TH,ST,36TH STREET YARD,LOS ANGELES,90018,10,673F1,0,,5044003900
25,STM,201,*,,302,W,37TH,ST,LANDSCAPE MEDIAN ISLAND,LOS ANGELES,90007,0,,0,,
25,STM,229,*,,472,W,37TH,ST,LANDSCAPE MEDIAN ISLAND,LOS ANGELES,90007,0,,0,,
26,STM,104,*,SD,480,W,37TH,ST,LANDSCAPE MEDIAN ISLAND,LOS ANGELES,90007,0,673J1,0,,
9,POL,58,*,SD,1145,W,37TH,PL,RESIDNTL CARE FOR WOMEN-mini 12-step house,LOS ANGELES,90007,8,674A1,,,5040031909
50,R&P,714,*,SD,1287,W,38TH,PL,38TH AND NORMANDIE PARK,LOS ANGELES,90062,8,673J2,0,,
25,STM,938,*,,916,W,39TH,ST,LANDSCAPE MEDIAN ISLAND,LOS ANGELES,90037,0,,0,,
50,R&P,337,Y,SD,1562,W,39TH,ST,RECREATION & PARKS,LOS ANGELES,90062,8,673J2,0,,5036026911
25,STM,6,*,SD,3300,W,39TH,ST,LANDSCAPE MEDIAN ISLAND,LOS ANGELES,90008,10,673F2,0,,
25,STM,158,*,,929,W,3RD,ST,LANDSCAPE MEDIAN ISLAND,,90017,0,,0,,
25,STM,517,*,,2130,W,3RD,ST,LANDSCAPE MEDIAN ISLAND,LOS ANGELES,90057,0,,0,,
25,STM,287,*,,2180,W,3RD,ST,LANDSCAPE MEDIAN ISLAND,,90057,0,,0,,
50,R&P,208,A,SD,2839,E,3RD,ST,BOYLE HEIGHTS SENIOR CITIZEN CENTER,BOYLE HGHTS,90033,14,635B5,0,,5180022900
5,FIR,61,*,SD,5821,W,3RD,ST,FIRE STATION #61,HANCOCK PARK,90036,5,633C2,0,,5512025904
50,R&P,804,D,SD,6137,W,3RD,ST,PAN PACIFIC PARK,HANCOCK PARK,90036,4,633C1,,,
26,STM,346,*,SD,361,W,40TH,PL,ABANDONED PASSENGER TUNNEL,LOS ANGELES,90037,0,674C2,0,,
25,STM,156,*,,355,W,41ST,ST,NON-STRUCTURAL SERVICE,,90037,0,,0,,
25,STM,639,*,SD,388,W,41ST,ST,LANDSCAPE MEDIAN ISLAND,LOS ANGELES,90037,0,,0,,
50,R&P,604,B,SD,1441,E,41ST,ST,REC & PARKS SERVICE,,90011,9,674G3,0,,
50,R&P,604,*,SD,1501,E,41ST,ST,ROSS SNYDER PARK,LOS ANGELES,90011,9,674F3,0,,
50,R&P,378,B,SD,425,E,42ND,PL,GILBERT W LINDSAY COMM CTR,LOS ANGELES,90011,9,674D3,,,5113007907
