row	Park Property	Sub-Park Name	Address	City	Zip	Rgn.	CD 1	CD 2	CD 3	Acreage	Sub Acreage	Board Report #	Acquisition Date	Thomas Guide	Former/Alternate Name	APN	Comments	Part ofÌä
68	CANOGA PARK SENIOR CITIZEN CENTER		7326 N. JORDAN AVE.			V	3			0.77				530-A4		2111-013-902		
69	CAPLOW PROPERTY		20856 MULHOLLAND DR.			V	3			16.96				593-C2				
70	CARDENAS (ANDRES AND MARIA) RECREATION CENTER		14740 W. BLYTHE ST.			V	6			0.7				531-J3		2210-021-900		
70	CARDENAS (ANDRES AND MARIA) RECREATION CENTER		14740 W. BLYTHE ST.			V	6			0.7				531-J3		2210-021-901		
70	CARDENAS (ANDRES AND MARIA) RECREATION CENTER		14740 W. BLYTHE ST.			V	6			0.7				531-J3		2210-021-902		
71	CAREY RANCH PARK		15035 W. CRESTKNOLL DR.			V	7			23.8				481-H7		2611-034-901		
71	CAREY RANCH PARK		15035 W. CRESTKNOLL DR.			V	7			23.8				481-H7		2611-034-900		
71	CAREY RANCH PARK		15035 W. CRESTKNOLL DR.			V	7			23.8				481-H7		2611-030-903		
71	CAREY RANCH PARK		15035 W. CRESTKNOLL DR.			V	7			23.8				481-H7		2611-038-901		
71	CAREY RANCH PARK		15035 W. CRESTKNOLL DR.			V	7			23.8				481-H7		2611-038- 900		
72	CARLTON WAY PARK		5927 W. CARLTON WAY.			G	13			0.19				593-G4				
73	CARTHAY CIRCLE PARK		6313 S. SAN VICENTE BLVD.			M	5			0.97				633-A2		5088-014-022		
73	CARTHAY CIRCLE PARK		6313 S. SAN VICENTE BLVD.			M	5			0.97				633-A2		5088-015-900		
73	CARTHAY CIRCLE PARK		6313 S. SAN VICENTE BLVD.			M	5			0.97				633-A2		5088-018-901		
73	CARTHAY CIRCLE PARK		6313 S. SAN VICENTE BLVD.			M	5			0.97				633-A2		5088-018-908		
73	CARTHAY CIRCLE PARK		6313 S. SAN VICENTE BLVD.			M	5			0.97				633-A2		5088-018-904		
73	CARTHAY CIRCLE PARK		6313 S. SAN VICENTE BLVD.			M	5			0.97				633-A2		5088-016-900		
74	CASTLE PEAK PARK		24220 W. CLARINGTON DR.			V	12			3.09				529-D4		2027-039-900		
75	CENTRAL AVENUE JAZZ PARK		4222 S. CENTRAL AVE.			P	9			0.19				674-E3	CENTRAL AVE. POCKET PARK; RENAMED BY BOARD IN 2000			
76	CENTRAL RECREATION CENTER		1357 E. 22ND ST.                  			P	9			1.45				674-F1				
77	CHASE PARK		22525 W. CHASE ST.			V	12			5.97				529-H2				
78	CHATSWORTH AND DE SOTO		10650 N. DE SOTO AVE.			V	12			1.6				500-C3				
79	CHATSWORTH OAKS PARK		9301 N. VALLEY CIRCLE BLVD.			V	12			2.9				499-G6				
80	CHATSWORTH PARK, NORTH		22300 W. CHATSWORTH ST.			V	12			24.15				499-J3				
81	CHATSWORTH PARK, SOUTH		22360 W. DEVONSHIRE ST.			V	12			73.07				499-H3				
82	* Sub-Park (Chatsworth Park, South)	MINNIE HILL PALMER HOUSE/HOMESTEAD ACRE	22360 DEVONSHIRE ST.			V	12				1.54			499-H3				
83	CHATSWORTH RESERVOIR SITE		8751-9461 VALLEY CIRCLE BLVD.			V	12			149.54				499-G7				
84	CHESTERFIELD SQUARE PARK		1950 W. 54TH ST.			P	8			1.89				673-H5				
85	CHEVIOT HILLS PARK		2551 S. MOTOR AVE.			W	5			40				632-F5				
86	   * Sub-Park (Cheviot Hills Park)	RANCHO PARK GOLF COURSE	10460 W. PICO BLVD.			P	5				140.14			632-E5				
87	CHEVY CHASE PARK		4165 E. CHEVY CHASE DR.			M	13			2.44				564-D6				
88	CIRCLE PARK (5TH AVE.)		76TH ST. AT GRAMERCY PL			P	8			0.17				703-G1				
89	CIRCLE PARK (GRAMERCY)		1975 W. 76TH ST.                                			P	8			0.17				703-H1				
90	CITY HALL PARK		200 N. SPRING ST.			M	14			1.71				634-G3				
91	CLELAND AVENUE BICENTENNIAL PARK		4800 E. CLELAND AVE.			M	1			0.92				595-A2				
92	CLEVELAND HIGH SCHOOL POOL		8120 N. VANALDEN AVE.			V	12			0.79				530-G3				
93	CLUB CIRCLE PARK		2890 CLUB DR. 			P	5			0.3				632-F6				
94	COHASSET-MELBA PARK		7449 N. MELBA AVE.			V	12			2				529-F4	INFORMALLY CALLED FOUR OAKS PARK			
95	COLDWATER CANYON PARK		12601 N. MULHOLLAND DR.			V	2			41.16				562-F7				
96	COLUMBUS AND TUPPER						7			0.29								
