Depart #,Dept,Bldg #,Sub ID,Maint Dist,Street #,Street Dir,Street Name,Street Type,Bldg Name,Community,Zip Code,Council Dist,Thomas Bros,Square Ft,Lease #,APN,compiled_address,compiled_lat,compiled_lng
25,STM,827,*,"",12990,"",SAN VICENTE,BL,LANDSCAPE MEDIAN ISLAND,LOS ANGELES,90049,0,"",0,"","","90049, CA",34.086936950683594,-118.48825073242188
25,STM,864,*,"",13031,"",SAN VICENTE,BL,LANDSCAPE MEDIAN ISLAND,LOS ANGELES,90049,0,"",0,"","","90049, CA",34.086936950683594,-118.48825073242188
25,STM,908,*,"",12175,"",SAN VINCENTE,BL,LANDSCAPE MEDIAN ISLAND,LOS ANGELES,90049,0,"",0,"","","90049, CA",34.086936950683594,-118.48825073242188
25,STM,667,*,"",10000,"",SANTA MONICA,BL,LANDSCAPE MEDIAN ISLAND,LOS ANGELES,90025,0,"",0,"","","10000 S Santa Monica Blvd, Los Angeles, CA 90067",34.063236,-118.414283
25,STM,667,A,"",10150,"",SANTA MONICA,BL,LANDSCAPE MEDIAN ISLAND,LOS ANGELES,90025,0,"",0,"","","90025, CA",34.04511260986328,-118.44671630859375
26,STM,43,A,ND,10201,"",SANTA MONICA,BL,LANDSCAPE MEDIAN ISLAND,LOS ANGELES,90025,0,"",0,"","","90025, CA",34.04511260986328,-118.44671630859375
26,STM,43,*,ND,10240,"",SANTA MONICA,BL,LANDSCAPE MEDIAN ISLAND,LOS ANGELES,90025,0,"",0,"","","90025, CA",34.04511260986328,-118.44671630859375
25,STM,667,B,"",10257,"",SANTA MONICA,BL,LANDSCAPE MEDIAN ISLAND,LOS ANGELES,90025,0,"",0,"","","10257 Santa Monica Blvd, Los Angeles, CA 90067",34.060188,-118.420867
26,STM,43,B,ND,10445,"",SANTA MONICA,BL,LANDSCAPE MEDIAN ISLAND,LOS ANGELES,90025,0,"",0,"","","90025, CA",34.04511260986328,-118.44671630859375
25,STM,862,C,"",10628,"",SANTA MONICA,BL,LANDSCAPE MEDIAN ISLAND,LOS ANGELES,90025,0,"",0,"","","90025, CA",34.04511260986328,-118.44671630859375
25,STM,862,A,"",10750,"",SANTA MONICA,BL,LANDSCAPE MEDIAN ISLAND,LOS ANGELES,90025,0,"",0,"","","90025, CA",34.04511260986328,-118.44671630859375
25,STM,862,*,"",10760,"",SANTA MONICA,BL,LANDSCAPE MEDIAN ISLAND,LOS ANGELES,90025,0,"",0,"","","90025, CA",34.04511260986328,-118.44671630859375
25,STM,862,B,"",10816,"",SANTA MONICA,BL,LANDSCAPE MEDIAN ISLAND,LOS ANGELES,90025,0,"",0,"","","90025, CA",34.04511260986328,-118.44671630859375
25,STM,154,A,"",11160,1/2,SANTA MONICA,BL,LANDSCAPED MEDIAN ISLAND,LOS ANGELES,90025,0,631J6,0,"","","90025, CA",34.04511260986328,-118.44671630859375
25,STM,154,*,"",12429,"",SANTA MONICA,BL,LANDSCAPED MEDIAN ISLAND,LOS ANGELES,90025,0,631J6,0,"","","90025, CA",34.04511260986328,-118.44671630859375
50,R&P,686,*,ND,12541,"",SATICOY,ST,STRATHERN PARK-WEST,N HOLLYWOOD,91605,2,532E3,0,"","","Strathearn, CA",34.27402877807617,-118.80039978027344
8,STM,10,H,ND,5440,"",SATSUMA,AV,N HOLLYWOOD-STUDIO CITY,N HOLLYWOOD,91601,4,563A2,19126,"",2416015900,"Studio City, CA",34.14360046386719,-118.3949966430664
62,VAR,92,*,ND,1250,"",SCENIC,DR,ADAMS HILL,GLENDALE,91205,0,564G7,0,4999-438C,"","Glendale Hills, NC",36.09177780151367,-79.73821258544922
